ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
SKMG,medium_airport,Baracoa Airport,178,SA,CO,CO-BOL,Magangu?,SKMG,MGN,SKMG,MGN,"9.28474, -74.8461"
SKML,small_airport,Montelibano Airport,160,SA,CO,CO-COR,Montel?bano,SKML,MTB,SKML,MTB,"7.97174, -75.4325"
SKMP,small_airport,San Bernardo Airport,60,SA,CO,CO-BOL,Santa Cruz de Momp?x,SKMP,MMP,SKMP,MMP,"9.258348, -74.438393"
SKMR,medium_airport,Los Garzones Airport,41,SA,CO,CO-COR,Monter?a,SKMR,MTR,SKMR,MTR,"8.82374, -75.8258"
SKMU,medium_airport,Fabio Alberto Leon Bentley Airport,680,SA,CO,CO-VAU,Mit?,SKMU,MVP,SKMU,MVP,"1.25366, -70.2339"
SKMZ,medium_airport,La Nubia Airport,6871,SA,CO,CO-CAL,Manizales,SKMZ,MZL,SKMZ,MZL,"5.0296, -75.4647"
SKNA,small_airport,La Macarena Airport,790,SA,CO,CO-MET,La Macarena,SKNA,LMC,SKNA,,"2.17565, -73.78674"
SKNC,small_airport,Necocli Airport,19,SA,CO,CO-ANT,Necocli,SKNC,NCI,SKNC,NCI,"8.454429, -76.779326"
SKNQ,small_airport,Reyes Murillo Airport,12,SA,CO,CO-CHO,Nuqu?,SKNQ,NQU,SKNQ,NQU,"5.710348, -77.261868"
SKNV,medium_airport,Benito Salas Airport,1464,SA,CO,CO-HUI,Neiva,SKNV,NVA,SKNV,NVA,"2.95015, -75.294"
SKOC,medium_airport,Aguas Claras Airport,3850,SA,CO,CO-NSA,Oca?a,SKOC,OCV,SKOC,OCV,"8.31506, -73.3583"
SKOE,small_airport,Orocue Airport,434,SA,CO,CO-CAS,Orocue,SKOE,ORC,SKOE,ORC,"4.79222, -71.3564"
SKOT,small_airport,Otu Airport,2060,SA,CO,CO-ANT,Remedios,SKOT,OTU,SKOT,,"7.010532, -74.715398"
SKPA,small_airport,Juan Jose Rondon Airport,8205,NA,CO,CO-BOY,Paipa,SKPA,RON,SKPA,,"5.76454, -73.1054"
SKPC,medium_airport,German Olano Airport,177,SA,CO,CO-VID,Puerto Carre?o,SKPC,PCR,SKPC,PCR,"6.18472, -67.4932"
SKPD,medium_airport,Obando Cesar Gaviria Trujillo Airport,460,SA,CO,CO-GUA,Puerto In?rida,SKPD,PDA,SKPD,PDA,"3.85353, -67.9062"
SKPE,medium_airport,Mateca?a International Airport,4416,SA,CO,CO-RIS,Pereira,SKPE,PEI,SKPE,PEI,"4.81267, -75.7395"
SKPI,medium_airport,Pitalito Airport,4212,SA,CO,CO-HUI,Pitalito,SKPI,PTX,SKPI,,"1.85777, -76.0857"
SKPL,small_airport,Plato Airport,69,SA,CO,CO-MAG,Plato,SKPL,PLT,SKPL,PLT,"9.8, -74.7833"
SKPN,small_airport,Puerto Nare Airport,476,SA,CO,CO-ANT,Armenia,SKPN,NAR,SKPN,NAR,"6.21002, -74.5906"
SKPP,medium_airport,Guillermo Le?n Valencia Airport,5687,SA,CO,CO-CAU,Popay?n,SKPP,PPN,SKPP,PPN,"2.4544, -76.6093"
SKPQ,medium_airport,German Olano Air Base,566,SA,CO,CO-CUN,La Dorada,SKPQ,PAL,SKPQ,PQE,"5.48361, -74.6574"
SKPR,small_airport,Puerto Berrio Airport,445,SA,CO,CO-ANT,Puerto Berrio,SKPR,PBE,SKPR,PBE,"6.46034, -74.4105"
SKPS,medium_airport,Antonio Nari?o Airport,5951,SA,CO,CO-NAR,Chachag??,SKPS,PSO,SKPS,PSO,"1.39625, -77.2915"
SKPV,medium_airport,El Embrujo Airport,10,NA,CO,CO-SAP,Providencia,SKPV,PVA,SKPV,PVA,"13.357461, -81.357977"
SKPZ,medium_airport,Paz De Ariporo Airport,900,SA,CO,CO-CAS,Paz De Ariporo,SKPZ,PZA,SKPZ,PZA,"5.87615, -71.8866"
SKQU,medium_airport,Mariquita Airport,1531,SA,CO,CO-TOL,Mariquita,SKQU,MQU,SKQU,MQU,"5.21256, -74.8836"
SKRA,small_airport,Tarapac? Airport,253,SA,CO,CO-AMA,Tarapac?,SKRA,TCD,SKRA,,"-2.895802, -69.749762"
SKRG,medium_airport,Jose Maria C?rdova International Airport,6955,SA,CO,CO-ANT,Medell?n,SKRG,MDE,SKRG,MDE,"6.16454, -75.4231"
SKRH,medium_airport,Almirante Padilla Airport,43,SA,CO,CO-LAG,Riohacha,SKRH,RCH,SKRH,RCH,"11.5262, -72.926"
SKRU,small_airport,Las Cruces Airport,440,SA,CO,CO-SAN,Sabana de Torres,SKRU,SNT,SKRU,,"7.38322, -73.505402"
SKSA,small_airport,Los Colonizadores Airport,680,SA,CO,CO-ARA,Saravena,SKSA,RVE,SKSA,SRV,"6.951868, -71.857179"
